event_id,event_name,event_type,district_id,start_timestamp,end_timestamp,expected_attendance,actual_attendance,event_impact_level
EVT_0001,Conference 2025,Conference,D08,2025-09-21 16:00:00,2025-09-21 19:00:00,6468,6488,Medium
EVT_0002,Marathon 2023,Marathon,D18,2023-04-12 18:00:00,2023-04-12 22:00:00,78082,58674,Extreme
EVT_0003,Marathon 2024,Marathon,D01,2024-05-01 18:00:00,2024-05-01 22:00:00,29996,29136,High
EVT_0004,Conference 2025,Conference,D15,2025-05-12 11:00:00,2025-05-12 20:00:00,3032,2743,Low
EVT_0005,Political Event 2025,Political Event,D08,2025-12-12 13:00:00,2025-12-13 00:00:00,2771,2270,Low
EVT_0006,Public Holiday 2025,Public Holiday,D11,2025-03-03 15:00:00,2025-03-03 21:00:00,20816,18316,High
EVT_0007,Political Event 2024,Political Event,D12,2024-06-09 09:00:00,2024-06-09 14:00:00,3033,2932,Medium
EVT_0008,Market 2025,Market,D12,2025-09-25 09:00:00,2025-09-25 16:00:00,5494,5831,Low
EVT_0009,Conference 2023,Conference,D04,2023-05-09 17:00:00,2023-05-10 03:00:00,2828,2704,Low
EVT_0010,Political Event 2025,Political Event,D16,2025-08-14 15:00:00,2025-08-15 01:00:00,9202,6871,Medium
EVT_0011,Marathon 2024,Marathon,D04,2024-09-12 10:00:00,2024-09-12 21:00:00,34899,30888,High
EVT_0012,Festival 2023,Festival,D05,2023-03-30 14:00:00,2023-03-30 21:00:00,13564,11313,High
EVT_0013,Market 2025,Market,D05,2025-11-02 18:00:00,2025-11-02 22:00:00,3265,3119,Low
EVT_0014,Public Holiday 2024,Public Holiday,D08,2024-04-24 14:00:00,2024-04-24 21:00:00,18245,15284,High
EVT_0015,Market 2024,Market,D10,2024-03-29 15:00:00,2024-03-29 18:00:00,2913,2512,Low
EVT_0016,Concert 2025,Concert,D17,2025-02-10 10:00:00,2025-02-10 14:00:00,67319,52686,Extreme
EVT_0017,Parade 2024,Parade,D09,2024-04-30 11:00:00,2024-04-30 16:00:00,31260,28768,High
EVT_0018,Public Holiday 2023,Public Holiday,D19,2023-02-14 17:00:00,2023-02-14 23:00:00,21873,16370,High
EVT_0019,Festival 2024,Festival,D14,2024-09-14 17:00:00,2024-09-15 03:00:00,20874,19921,High
EVT_0020,Political Event 2023,Political Event,D08,2023-10-05 13:00:00,2023-10-05 17:00:00,8291,8360,Low
EVT_0021,Public Holiday 2023,Public Holiday,D09,2023-04-20 14:00:00,2023-04-21 00:00:00,15295,12479,High
EVT_0022,Football Match 2023,Football Match,D11,2023-04-24 13:00:00,2023-04-24 16:00:00,29516,26539,High
