dataset,column,data_type,description,unit,role,nullable,key
districts.csv,district_id,string,Unique identifier for the district,N/A,Primary Key Component,No,Primary Key
districts.csv,district_name,string,Name of the district,N/A,Feature,No,No
districts.csv,district_type,string,Primary zoning type of the district,N/A,Feature,No,No
districts.csv,area_km2,float,Geographical area of the district,km²,Feature,No,No
districts.csv,population,int,Total resident population,People,Feature,No,No
districts.csv,commercial_activity_index,float,Relative scale of commercial business activity,Index,Feature,No,No
districts.csv,industrial_activity_index,float,Relative scale of industrial operations,Index,Feature,No,No
districts.csv,green_space_percent,float,Percentage of district covered by parks/greenery,%,Feature,No,No
districts.csv,road_capacity_index,float,Relative capacity of the district's road network,Index,Feature,No,No
districts.csv,public_transport_access_index,float,Relative accessibility to public transit,Index,Feature,No,No
districts.csv,base_electricity_demand_mwh,float,Baseline electrical demand of the district,MWh,Feature,No,No
districts.csv,temp_offset_c,float,Microclimate temperature offset from city baseline,°C,Feature,No,No
districts.csv,wind_multiplier,float,Microclimate wind speed scaling factor,Multiplier,Feature,No,No
districts.csv,population_density,float,Population per square kilometer,People/km²,Feature,No,No
districts.csv,grid_capacity_mwh,float,Maximum rated electrical supply capacity,MWh,Feature,No,No
city_events.csv,event_id,string,Unique identifier for the public event,N/A,Primary Key Component,No,Primary Key
city_events.csv,event_name,string,Name of the event,N/A,Feature,No,No
city_events.csv,event_type,string,Categorical type of the event,N/A,Feature,No,No
city_events.csv,district_id,string,District where the event occurs,N/A,Feature,No,Foreign Key
city_events.csv,start_timestamp,datetime,Timestamp when the event begins,N/A,Feature,No,No
city_events.csv,end_timestamp,datetime,Timestamp when the event concludes,N/A,Feature,No,No
city_events.csv,expected_attendance,int,Forecasted number of attendees,People,Feature,No,No
city_events.csv,actual_attendance,int,Realized number of attendees,People,Feature,No,No
city_events.csv,event_impact_level,string,Categorical magnitude of the event's systemic impact,N/A,Feature,No,No
weather.csv,timestamp,datetime,Hourly observation time,N/A,Primary Key Component,No,Logical Key
weather.csv,district_id,string,Unique identifier for the district,N/A,Primary Key Component,No,Logical Key / Foreign Key
weather.csv,temperature_c,float,Ambient temperature in Celsius,°C,Feature,Yes,No
weather.csv,feels_like_c,float,Perceived temperature in Celsius,°C,Feature,Yes,No
weather.csv,humidity_percent,float,Relative humidity,%,Feature,Yes,No
weather.csv,rainfall_mm,float,Hourly rainfall volume,mm,Feature,Yes,No
weather.csv,wind_speed_kmh,float,Wind speed in kilometers per hour,km/h,Feature,Yes,No
weather.csv,cloud_cover_percent,float,Percentage of sky occluded by clouds,%,Feature,Yes,No
weather.csv,weather_condition,string,Categorical weather descriptor,N/A,Feature,Yes,No
weather.csv,heatwave_flag,int,Binary flag indicating a persistent heatwave episode,0/1,Feature,No,No
weather.csv,heavy_rain_flag,int,Binary flag indicating torrential downpour,0/1,Feature,No,No
weather.csv,storm_flag,int,Binary flag indicating a severe multi-hour storm,0/1,Feature,No,No
weather.csv,sensor_status,string,Operational status of the telemetry array,N/A,Feature,No,No
traffic.csv,timestamp,datetime,Hourly observation time,N/A,Primary Key Component,No,Logical Key
traffic.csv,district_id,string,Unique identifier for the district,N/A,Primary Key Component,No,Logical Key / Foreign Key
traffic.csv,traffic_volume,int,Count of vehicles passed,Vehicles,Feature,Yes,No
traffic.csv,average_speed_kmh,float,Average speed of traffic flow,km/h,Feature,Yes,No
traffic.csv,congestion_index,float,Normalized congestion metric,Index,Feature,Yes,No
traffic.csv,accident_count,int,Count of recorded vehicle accidents,Count,Feature/Leakage,Yes,No
traffic.csv,accident_flag,int,Binary flag indicating >= 1 accident occurred,0/1,Target,No,No
traffic.csv,road_incident_count,int,Count of road incidents including non-accident obstructions,Count,Feature/Leakage,Yes,No
traffic.csv,rush_hour_flag,int,Binary flag indicating traditional commuting rush hour,0/1,Feature,Yes,No
