event_id,timestamp,district_id,emergency_type,severity_level,response_time_minutes,ambulance_required,hospital_transport_required,weather_related_flag,traffic_related_flag,outcome
EMG_000001,2023-01-01 06:31:00,D11,Medical Emergency,Medium,23.238000261916532,1,0,0,0,Resolved On-Site
EMG_000002,2023-01-01 07:01:00,D05,Medical Emergency,Low,17.54281427125887,1,0,0,0,Resolved On-Site
EMG_000003,2023-01-01 17:54:00,D07,Traffic Accident,High,13.67591963196682,1,1,0,1,Transported to Hospital
EMG_000004,2023-01-01 19:09:00,D07,Public Safety Incident,Low,20.66938870730621,0,0,0,0,Resolved On-Site
EMG_000005,2023-01-01 21:51:00,D09,Medical Emergency,Low,19.989403424993796,1,0,0,0,Transported to Hospital
EMG_000006,2023-01-02 00:40:00,D14,Medical Emergency,Medium,12.54237480785736,1,0,0,0,Resolved On-Site
EMG_000007,2023-01-02 06:11:00,D05,Public Safety Incident,Medium,18.24757459452934,0,0,0,0,Transported to Hospital
EMG_000008,2023-01-02 06:08:00,D05,Medical Emergency,High,13.222127651470862,1,1,0,0,Resolved On-Site
EMG_000009,2023-01-02 06:34:00,D19,Medical Emergency,Low,21.90136239040635,1,0,0,0,Transported to Hospital
EMG_000010,2023-01-02 07:09:00,D01,Traffic Accident,Medium,27.726222783449835,1,0,0,1,Transported to Hospital
EMG_000011,2023-01-02 07:30:00,D10,Traffic Accident,High,13.055721981407741,1,1,0,1,Transported to Hospital
EMG_000012,2023-01-02 07:57:00,D10,Medical Emergency,Medium,19.116218588592176,1,0,0,0,Transported to Hospital
EMG_000013,2023-01-02 07:04:00,D11,Public Safety Incident,Medium,34.748895123838885,0,0,0,0,Resolved On-Site
EMG_000014,2023-01-02 07:39:00,D11,Traffic Accident,Low,33.351511416640584,1,0,0,1,Resolved On-Site
EMG_000015,2023-01-02 07:48:00,D11,Public Safety Incident,High,30.959783001903837,0,0,0,0,Resolved On-Site
EMG_000016,2023-01-02 07:23:00,D11,Traffic Accident,Low,36.51212173312393,1,0,0,1,Resolved On-Site
EMG_000017,2023-01-02 10:21:00,D06,Medical Emergency,Medium,16.803782136685857,1,0,0,0,Transported to Hospital
EMG_000018,2023-01-02 11:57:00,D01,Traffic Accident,Low,23.41347567403945,1,0,0,1,Resolved On-Site
EMG_000019,2023-01-02 12:39:00,D09,Traffic Accident,Low,27.141376869378348,1,0,0,1,Resolved On-Site
EMG_000020,2023-01-02 12:55:00,D09,Medical Emergency,Low,24.979434348981428,1,0,0,0,Transported to Hospital
EMG_000021,2023-01-02 12:29:00,D09,Medical Emergency,Low,20.596793448025903,1,0,0,0,Transported to Hospital
EMG_000022,2023-01-02 12:43:00,D20,Medical Emergency,Critical,9.979079944031024,1,1,0,0,Transported to Hospital
EMG_000023,2023-01-02 14:27:00,D17,Public Safety Incident,Medium,21.072817118767183,0,0,0,0,Transported to Hospital
EMG_000024,2023-01-02 15:28:00,D18,Medical Emergency,Low,21.884438741798057,1,0,0,0,Resolved On-Site
EMG_000025,2023-01-02 15:50:00,D18,Medical Emergency,Low,20.018331291602184,1,0,0,0,Transported to Hospital
EMG_000026,2023-01-02 22:15:00,D06,Traffic Accident,Low,23.044992117005776,1,0,0,1,Resolved On-Site
EMG_000027,2023-01-02 23:10:00,D12,Medical Emergency,Low,15.905155522284621,1,0,0,0,Transported to Hospital
EMG_000028,2023-01-03 01:53:00,D05,Medical Emergency,Medium,13.74898723357364,1,0,0,0,Resolved On-Site
EMG_000029,2023-01-03 09:22:00,D03,Infrastructure Failure,Medium,15.276390042792205,0,0,0,0,Transported to Hospital
EMG_000030,2023-01-03 09:48:00,D08,Traffic Accident,Medium,21.23685771474575,1,0,0,1,Transported to Hospital
EMG_000031,2023-01-03 09:53:00,D08,Traffic Accident,Low,22.412445097992794,1,0,0,1,Transported to Hospital
EMG_000032,2023-01-03 10:54:00,D01,Fire,Medium,21.251522912383898,0,0,0,0,Transported to Hospital
EMG_000033,2023-01-03 10:00:00,D09,Traffic Accident,Medium,18.346016035580206,1,0,0,1,Resolved On-Site
EMG_000034,2023-01-04 09:07:00,D05,Traffic Accident,Medium,22.701802750264843,1,0,0,1,Transported to Hospital
EMG_000035,2023-01-04 09:06:00,D05,Traffic Accident,Low,27.591365379281317,1,0,0,1,Resolved On-Site
EMG_000036,2023-01-04 11:12:00,D01,Public Safety Incident,Critical,15.295817826675641,0,0,0,0,Resolved On-Site
EMG_000037,2023-01-04 11:35:00,D18,Infrastructure Failure,Low,20.952317445075664,0,0,0,0,Resolved On-Site
EMG_000038,2023-01-04 12:51:00,D09,Medical Emergency,Low,21.58404731746401,1,0,0,0,Resolved On-Site
EMG_000039,2023-01-04 17:29:00,D11,Medical Emergency,High,31.444389754383227,1,1,0,0,Resolved On-Site
EMG_000040,2023-01-04 18:58:00,D16,Traffic Accident,Medium,20.546799440319678,1,0,0,1,Transported to Hospital
EMG_000041,2023-01-04 20:41:00,D16,Public Safety Incident,Medium,15.42281154279005,0,0,0,0,Resolved On-Site
EMG_000042,2023-01-05 04:36:00,D05,Fire,High,11.31401357861554,0,0,0,0,Transported to Hospital
EMG_000043,2023-01-05 06:20:00,D06,Medical Emergency,High,14.06513401531435,1,1,0,0,Transported to Hospital
EMG_000044,2023-01-05 06:09:00,D06,Medical Emergency,High,15.37485356147914,1,1,0,0,Transported to Hospital
EMG_000045,2023-01-05 13:03:00,D02,Infrastructure Failure,Medium,19.102061303818903,0,0,0,0,Transported to Hospital
EMG_000046,2023-01-05 14:01:00,D14,Traffic Accident,Low,22.68111633411315,1,0,0,1,Resolved On-Site
EMG_000047,2023-01-05 15:58:00,D18,Medical Emergency,Low,21.335927378923927,1,0,0,0,Resolved On-Site
EMG_000048,2023-01-05 16:23:00,D16,Traffic Accident,Medium,17.239614089276596,1,0,0,1,Transported to Hospital
EMG_000049,2023-01-05 18:45:00,D17,Medical Emergency,Low,23.130801250039326,1,0,0,0,Transported to Hospital
EMG_000050,2023-01-05 19:53:00,D15,Medical Emergency,Low,25.88683993478922,1,0,0,0,Resolved On-Site
